study,treat1,treat2,md,se
BNCI2014-001,CSP+LDA,MDM,0.016878852777777786,0.03147773467929105
BNCI2014-001,CSP+LDA,TS+SVM,-0.010213044999999988,0.009775865813284936
BNCI2014-001,MDM,TS+SVM,-0.027091897777777776,0.024841686342792848
BNCI2014-004,CSP+LDA,MDM,0.004510573111111089,0.003215001157652222
BNCI2014-004,CSP+LDA,TS+SVM,0.010645828222222289,0.009058197998597466
BNCI2014-004,MDM,TS+SVM,0.0061352551111112,0.006992089484849157
Cho2017,CSP+LDA,MDM,0.033206526666666666,0.009792751158945888
Cho2017,CSP+LDA,TS+SVM,-0.009675516666666661,0.010314726706553536
Cho2017,MDM,TS+SVM,-0.04288204333333333,0.007980270975460009
Lee2019-MI,CSP+LDA,MDM,0.05830369222222222,0.029506411443666863
Lee2019-MI,CSP+LDA,TS+SVM,-0.06276915111111109,0.01432464343841656
Lee2019-MI,MDM,TS+SVM,-0.1210728433333333,0.02448676224091936
PhysionetMotorImagery,CSP+LDA,MDM,0.1571535944444445,0.02031945393884668
PhysionetMotorImagery,CSP+LDA,TS+SVM,0.0255771788888889,0.011510593302815848
PhysionetMotorImagery,MDM,TS+SVM,-0.13157641555555555,0.01533642341786478
