study,treatment,mean,std.dev,sampleSize
BNCI2014-001,CSP_LDA,0.7624957144444445,0.16079898761344757,9
BNCI2014-001,MDM,0.7456168616666666,0.12482811492948492,9
BNCI2014-001,TS_SVM,0.7727087594444445,0.14746461275490222,9
BNCI2014-004,CSP_LDA,0.7934923442222223,0.11847627050015229,9
BNCI2014-004,MDM,0.7889817711111111,0.11834749665460821,9
BNCI2014-004,TS_SVM,0.7828465159999999,0.1162595672880741,9
Cho2017,CSP_LDA,0.6274472288888889,0.05131671689759643,9
Cho2017,MDM,0.5942407022222223,0.05313496472456197,9
Cho2017,TS_SVM,0.6371227455555556,0.05762406486116698,9
Lee2019-MI,CSP_LDA,0.6782469088888888,0.076823659264682,9
Lee2019-MI,MDM,0.6199432166666665,0.026189278473782964,9
Lee2019-MI,TS_SVM,0.74101606,0.06097572379687489,9
PhysionetMotorImagery,CSP_LDA,0.6952694466666666,0.05847883686428706,9
PhysionetMotorImagery,MDM,0.5381158522222222,0.01722766016471532,9
PhysionetMotorImagery,TS_SVM,0.6696922677777778,0.04064906323705313,9
